Movie_Name,Author_Review,Polarity,Text,Score,Full_Review
Daybreakers,Richard Brody,0.6,The conceit is worked out in whiz-bang diabolical detail... and brought to life with imaginative effects.,1.0,https://www.newyorker.com/goings-on-about-town/movies/daybreakers
Daybreakers,Laura Kern,-0.2833333333333334,"A slick, violent, and intensely gloomy horror/action/sci-fi hybrid that stands out in a crowded field of end-of-mankind movie scenarios.",1.0,http://www.filmcomment.com/article/review-daybreakers-michael-spierig-peter-spierig
Daybreakers,Ben Kenigsberg,0.0,,0.0,
Daybreakers,Joshua Rothkopf,0.0,,1.0,http://www.timeout.com/film/reviews/88213/daybreakers.html
Daybreakers,C. Robert Cargill,0.25,"Daybreakers is the pinnacle of fun, modern sci-fi horror actioners.",1.0,http://www.film.com/movies/review-daybreakers-kicks-off-the-year-right
Daybreakers,Perri Nemiroff,0.06555555555555556,The power of the Spierig Brothers is mighty and it'll be impossible to sit down without becoming absorbed in their futuristic world of vampire clichés and novelties.,1.0,http://www.cinemablend.com/reviews/Daybreakers-4368.html
Daybreakers,Nick Rogers,0.22727272727272727,"As a vigorous reclamation of what vampire-genre movies should be, ""Daybreakers"" is, oh, positive.",1.0,https://midwestfilmjournal.com/2010/01/08/daybreakers/
Daybreakers,Brian Eggert,0.3666666666666667,"Daybreakers proves Michael Spierig and Peter Spierig have the potential to become great genre filmmakers
",1.0,https://deepfocusreview.com/reviews/daybreakers/
Daybreakers,Rene Jordan,0.06249999999999999,There is a lot of talent wasted in epic effort for a pyrrhic end.  [Full review in Spanish] ,0.0,https://www.newspapers.com/clip/112007739/daybreakers/
Daybreakers,Bakari Simpson,0.1,"A perfectly seamless blend of sci-fi, horror and drama.",1.0,https://www.cleveland.com/call-and-post/2010/01/movie_review_daybreakers_break.html
Daybreakers,Richard Propes,0.175,"A dark, stylish and brooding thriller.",1.0,https://theindependentcritic.com/daybreakers
Daybreakers,Ed Travis,0.47500000000000003,"Amazingly, this horror/action hybrid does an effective job of wrestling with these deep questions through a fascinating vampire world.",1.0,http://www.hollywoodjesus.com/daybreakers/
Leap Year,Richard Corliss,0.4,Welcome another gentleman Brit to possible leading-man status in Hollywood. Everyone else involved should redact Leap Year from his or her résumé.,0.0,"http://content.time.com/time/arts/article/0,8599,1952703,00.html"
Leap Year,Tim Robey,-0.4,Poor Amy Adams.,0.0,https://www.telegraph.co.uk/culture/film/filmreviews/7377539/Leap-Year-review.html
Leap Year,Donald Clarke,0.09999999999999998,If a worse film is released this year I'll eat my own weight in cuddly leprechauns. So I will. So I will.,0.0,https://www.irishtimes.com/culture/film/leap-year-1.628486
Leap Year,Peter Rainer,0.2,"Amy Adams is such a likable actress that she makes the romantic comedy ""Leap Year"" worth watching even though we've seen it all before.",1.0,https://www.csmonitor.com/The-Culture/Movies/2010/0108/Leap-Year-movie-review
Leap Year,Mick LaSalle,-0.16666666666666666,"Any movie that gives Adams half a chance to show her stuff can't be dismissed out of hand. But ""Leap Year"" gives her slightly less than half a chance.",0.0,https://www.sfgate.com/movies/article/Review-Even-Amy-Adams-can-t-save-Leap-Year-3204447.php
Leap Year,Nell Minow,0.0,,0.0,http://blog.beliefnet.com/moviemom/2010/05/leap-year.html
Leap Year,Brian Eggert,0.3333333333333333,Almost everything you need to know about Leap Year is in the trailer. Why do you need to see the movie? ...You sit through this movie because you enjoy romantic comedies and the warm feelings they give you.,1.0,https://deepfocusreview.com/reviews/leap-year/
Leap Year,Rene Jordan,-0.21666666666666667,The worst film of 2010. [Full review in Spanish] ,0.0,https://www.newspapers.com/clip/111619715/leap-year/
Leap Year,Nathalia Aryani,0.175,"Nothing deep, but its serendipity nature is uplifting for those of us who believe that life is full of surprises and somehow it works out the way it's supposed to be.",1.0,https://sdmoviemaven.blogspot.com/2010/05/year.html
Leap Year,Eddie Harrison,-0.12916666666666668,...so painfully contrived that it drains the spirit and disturbs the soul; rarely has a film strived for laughs to so little effect...,0.0,https://film-authority.com/2021/02/28/leap-year/
Leap Year,Jason Best,0.0,"No romantic comedy or Emerald Isle cliché is left unturned, but Adams and Goode's charm should be enough to get an indulgent viewer to the finishing line.",0.0,https://www.whatsontv.co.uk/movie-talk/leap-year-review-325655/
Leap Year,Richard Propes,0.13333333333333333,A decent way for budding couples to begin 2010.,0.0,https://theindependentcritic.com/leap_year
Youth in Revolt,Caryn James,0.16666666666666666,But all the silliness reminds us that there is no age limit on expressing your confident inner vixen - especially in these uneasy times.,1.0,http://www.marieclaire.com/culture/a3734/youth-in-revolt-review/
Youth in Revolt,Nell Minow,0.0,,1.0,http://blog.beliefnet.com/moviemom/2010/01/youth-in-revolt.html
Youth in Revolt,Ben Kenigsberg,0.0,,0.0,
Youth in Revolt,Perri Nemiroff,0.25,"The movie doesn't pack the same punch as the book, but still manages to create a wildly entertaining blend of teen love, awkwardness and vulgarity.",1.0,http://littlemisscritical.com/2010/01/11/review-youth-in-revolt/
Youth in Revolt,Nick Schager,0.16666666666666666,[Its] classic cinema shoutouts and gaggle of off-kilter characters feel like retreads.,0.0,http://www.nickschager.com/nsfp/2010/06/youth-in-revolt-2009-c.html
Youth in Revolt,Andrew Male,0.0,"It's chaotic and episodic, but this is Cera's star turn. Superbad meets Fight Club? That'll do it.",1.0,http://www.empireonline.com/reviews/reviewcomplete.asp?FID=136677
Youth in Revolt,Brian Eggert,0.2,"Ultimately, the result feels forcibly quirky, if occasionally hilarious, and might be worth your time depending on your fondness for the movie’s star.",1.0,https://deepfocusreview.com/reviews/youth-in-revolt/
Youth in Revolt,Rene Jordan,0.45,Deliciously abnormal. [Full review in Spanish] ,1.0,https://www.newspapers.com/clip/111619744/youth-in-revolt/
Youth in Revolt,Mike Massie,0.2888888888888889,"As if written specifically for Cera, the dialogue and screenplay are particularly seductive, enticing with bitingly sarcastic poetry and linguistically adept observations.",1.0,http://gonewiththetwins.com/new/youth-in-revolt-2010/
Youth in Revolt,Richard Propes,0.16666666666666666,Merely a decent film.,1.0,https://theindependentcritic.com/youth_in_revolt
Youth in Revolt,Debbie Baldwin,0.0,"All in all, Youth in Revolt is quite simply an unremarkable film.",0.0,http://www.laduenews.com/diversions/arts-entertainment/movie-review-youth-in-revolt/article_5e575354-97e2-5eca-93e0-c746f9c89521.html
Youth in Revolt,Brandy McDonnell,0.023674242424242417,"A funny, if hardly revolutionary, new entry in the teen sex comedy genre.",1.0,https://newsok.com/article/3430389/movie-review-teen-hormones-and-parental-folly-collide-in-youth-in-revolt
The Spy Next Door,Hank Sartin,0.0,,0.0,http://www.timeout.com/film/chicago/reviews/88249/the_spy_next_door.html
The Spy Next Door,Joshua Rothkopf,0.0,,0.0,
The Spy Next Door,Lisa Schwarzbaum,0.0,,0.0,"http://www.ew.com/ew/article/0,,20337240,00.html"
The Spy Next Door,David Stratton,-0.3222222222222222,"The woeful screenplay, the mundane direction, by Brian Levant, and the indifferent acting all combine to sink a stupid plot which should never have got off the ground.",0.0,http://www.abc.net.au/atthemovies/txt/s2844464.htm
The Spy Next Door,Alexander Pashby,0.3,Definitely one for the kids to watch on their own when it comes out on DVD.,0.0,
The Spy Next Door,Derek Malcolm,0.1875,Chan has just enough friendly charm to transcend this rubbish.,0.0,
The Spy Next Door,David Nusair,-0.24333333333333335,...a mostly tiresome endeavor that fares especially poorly within its generic and sluggish first half...,0.0,https://reelfilm.com/the-spy-next-door/
The Spy Next Door,Rene Jordan,-0.01666666666666668,...it could have been worse.  [Full review in Spanish] ,0.0,https://www.newspapers.com/clip/111620091/the-spy-next-door/
The Spy Next Door,John Gholson,-0.04107142857142857,"If the lazy filmmakers don't care enough about their movie to offer at least one single original idea, then you shouldn't care enough to go see it.",0.0,http://blog.moviefone.com/2010/01/15/review-the-spy-next-door/
The Spy Next Door,Katina Vangopoulos,0.25,This film plays it too safe and brings you only a smidgeon of charm and laughter.,0.0,http://cutprintreview.com/reviews/2-stars/the-spy-next-door-review/
The Spy Next Door,Simon Foster,-0.5,An uncomfortable journey for everyone involved.,0.0,http://www.sbs.com.au/films/movie/6927/The-Spy-Next-Door
The Spy Next Door,Prairie Miller,0.5,"Though mixing espionage and family values in unraveling dysfunctional behavior among a bratty brood of siblings may be a stretch, Jackie Chan makes the most of it in his latest caper targeting unruly kids.",1.0,http://newsblaze.com/story/20100529145456mill.nb/topstory.html
Extraordinary Measures,Nell Minow,0.0,,1.0,http://blog.beliefnet.com/moviemom/2010/05/extraordinary-measures.html
Extraordinary Measures,Jonathan F. Richards,0.18333333333333335,"Harrison Ford still retains enough of his old movie star magic to ramp up the electricity a bit when he's onscreen, but this only makes you want to see him do something that makes better use of his gifts. Brendan Fraser just seems to grow bigger over the",0.0,http://web.mac.com/moviecritic1/Site/Extraordinary_Measures.html
Extraordinary Measures,Ian Freer,0.425,"Soapy and unemotional, this makes a hash of an interesting true story.",0.0,http://www.empireonline.com/reviews/ReviewComplete.asp?FID=136731
Extraordinary Measures,Trevor Johnston,0.0,"Moderately illuminating in parts, but the clich (C)s of cinematic suffering tend to overwhelm it.",0.0,http://www.timeout.com/film/reviews/88260/extraordinary-measures.html
Extraordinary Measures,Kate Muir,-0.15999999999999998,"Harrison Ford is the clich (C) of a scientist who cares more for equations than humans, and works to atrocious rock music. The child actors are cloying in their cuteness. A serious subject drowned by sentimentality.",0.0,http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/film_reviews/article7037908.ece
Extraordinary Measures,Peter Bradshaw,0.14375,Fraser's blandness makes for a deeply uninteresting fit with Ford's supposedly adorable grumpiness. Very ordinary.,0.0,http://www.guardian.co.uk/film/2010/feb/25/extraordinary-measures-film-review
Extraordinary Measures,Mike Massie,0.5,"Harrison Ford is enjoyable in just about everything, but somehow he plays an unlikeable character in this film.",0.0,http://gonewiththetwins.com/new/extraordinary-measures-2010/
Extraordinary Measures,Richard Propes,-0.25,A disappointingly ordinary film.,0.0,https://theindependentcritic.com/extraordinary_measures
Extraordinary Measures,Debbie Lynn Elias,0.4,EXTRAORDINARY MEASURES is an extraordinary story about some extraordinary people. An intelligent film that shoots an IV of humanity straight into your heart.,1.0,http://behindthelensonline.net/site/reviews/extraordinary-measures/
Extraordinary Measures,Brian D. Johnson,0.0,"Harrison likes to talk about how he's a team player and how everything he does is in the service of the story. His talk-show mantra is that, even though he's a star, he doesn't act like one. Maybe that was once the case. But not here.",0.0,https://www.macleans.ca/uncategorized/opening-weekend-extraordinary-measures-the-last-station-creation-petropolis/
Extraordinary Measures,Brandy McDonnell,0.3232323232323232,"Geography aside, Extraordinary Measures includes some memorable moments but doesn't live up to the stirring real-life story that inspired it.",0.0,https://newsok.com/article/3433728/movie-review-extraordinary-measures-not-enough
Extraordinary Measures,Robin Clifford,0.0,,1.0,http://www.reelingreviews.com/extraordinarymeasures.htm
The Tooth Fairy,Carrie Rickey,0.0,,0.0,http://www.philly.com/inquirer/columnists/carrie_rickey/20100122_A_script_with_a_lot_of_decay__little_wisdom.html
The Tooth Fairy,Frank Swietek,0.0,,0.0,http://www.oneguysopinion.com/Review.php?ID=2963
The Tooth Fairy,Thomas Leupp,0.0,,0.0,http://www.hollywood.com/review/The_Tooth_Fairy/6566944
The Tooth Fairy,Gary Thompson,0.0,,0.0,http://www.philly.com/dailynews/columnists/gary_thompson/20100121_Miscast_star__incoherent_plot_doom_in_Tooth_Fairy.html
